"course_title","price","num_subscribers","num_reviews","num_lectures","content_duration","is_paid.f","level.f","subject.f"
"The Ultimate Guide to Dividend & Dividend Growth Investing",200,2115,59,88,5.5,"True","All Levels","Business Finance"
"Charting for Beginners 101: Technical Analysis Demystified",45,2230,102,10,1.5,"True","All Levels","Business Finance"
"Build a DCF Valuation Model",50,2053,234,44,5.5,"True","All Levels","Business Finance"
"Introductory Financial Accounting",80,1793,265,54,10,"True","Beginner Level","Business Finance"
"Introduction to Cryptocurrencies and Blockchain",0,3775,138,11,2,"False","Beginner Level","Business Finance"
"Trade Pullback Candlestick Strategy - Make Consistent Pips",200,521,67,24,3,"True","All Levels","Business Finance"
"Accounting Standards Basics (Professional Course Level)",20,2222,9,12,0.7,"True","All Levels","Business Finance"
"Use the Magic Multiple Moving Average Forex Trading system",50,1097,252,10,1,"True","Intermediate Level","Business Finance"
"QuickBooks 2015 Training for Newbies",200,2506,21,76,6,"True","Beginner Level","Business Finance"
"TRADING PSYCHOLOGY: Trading Mindset Mastery",120,975,23,23,1,"True","Intermediate Level","Business Finance"
"Option Trading: How to Adjust Delta-Neutral Strangles!",145,1398,15,26,1.5,"True","All Levels","Business Finance"
"Profitable binary option trading strategy",195,1096,24,24,1.5,"True","All Levels","Business Finance"
"Tax Strategy: Financial Planning for Beginners",200,1703,59,25,2,"True","All Levels","Business Finance"
"Accounting 2 Simplified for You",45,1446,23,27,5,"True","Beginner Level","Business Finance"
"Project Funding Modelling (for Professionals)",20,2736,3,8,1.5,"True","All Levels","Business Finance"
"Investing: How I Consistently Beat The Stock Market",200,2000,31,34,4.5,"True","All Levels","Business Finance"
"Bookkeeping Basics:  Understand the Fundamentals",75,853,45,48,4.5,"True","Beginner Level","Business Finance"
"Leasing - A Comprehensive Study (Professional Course Level)",20,3094,2,22,3.5,"True","All Levels","Business Finance"
"Trading Options For Consistent Returns: Options Basics",0,4077,281,20,1.5,"False","Beginner Level","Business Finance"
"TechniTrader Leading Hybrid Indicator Trading",20,4117,54,5,1,"True","Intermediate Level","Business Finance"
"Financial modeling: Build a DCF equity valuation model",20,1369,17,31,1.5,"True","All Levels","Business Finance"
"CryptoArbitrager: Bitcoin Trading Robot (no mining)",150,1224,42,14,0.55,"True","All Levels","Business Finance"
"Accounting Is Easy (for Beginners)",20,3870,12,90,9,"True","All Levels","Business Finance"
"Non Directional Weekly Options Trading System - ETF & Emini",200,897,22,21,2,"True","All Levels","Business Finance"
"The Complete Position Trading Course: Position Trading Stock",45,1311,36,5,1,"True","All Levels","Business Finance"
"Master Iron Condors - Double the credit for half the risk",60,1338,139,7,1,"True","Expert Level","Business Finance"
"Basics of investing in Mutual Funds",20,1589,26,42,1.5,"True","Intermediate Level","Business Finance"
"A Value Investing Approach to the Stock Market",20,1189,12,15,1.5,"True","All Levels","Business Finance"
"Learn how to INVEST for huge profits or make it big trading!",50,701,12,37,5.5,"True","All Levels","Business Finance"
"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",50,1105,3,54,6,"True","Intermediate Level","Business Finance"
"Mastering Candlestick Charting : High Probability Trading",50,123,16,35,2,"True","All Levels","Business Finance"
"Binary Options Course - Level 2",0,5874,207,9,2,"False","Intermediate Level","Business Finance"
"Stock Technical Analysis with R",50,354,32,49,7,"True","All Levels","Business Finance"
"Get to know the VIX Index (aka 'The Fear Index)""",60,727,64,9,1,"True","All Levels","Business Finance"
"Apply finance concepts for smart project management",0,3465,161,24,2,"False","Beginner Level","Business Finance"
"Introduction to Futures Trading and Live Trade Demonstration",60,54,4,6,0.716666666666667,"True","Expert Level","Business Finance"
"Crowdfunding to Win",40,627,15,15,1.5,"True","All Levels","Business Finance"
"Comprehensive Forex Mastery Program",45,650,107,97,10,"True","All Levels","Business Finance"
"Preparation of Consolidated Financial Statements (Basic)",0,965,0,18,1.5,"False","Intermediate Level","Business Finance"
"Succeed in Bonds Even if You Don't Know Where to Start",200,1113,6,8,1,"True","All Levels","Business Finance"
"Learn to Trade for Profit: Ten Most Profitable Trading Rules",95,739,28,45,2,"True","All Levels","Business Finance"
"Succeed in Lotto Even if You Don't Know Where to Start!",20,1201,12,18,1.5,"True","All Levels","Business Finance"
"CFA Corporate Finance Level 2",50,2474,6,128,17.5,"True","All Levels","Business Finance"
"Pin Bars: The Most Powerful Forex Trading Signal",200,494,16,19,1,"True","All Levels","Business Finance"
"Stock Options Trades Using Interactive Brokers",95,1580,26,14,1,"True","Intermediate Level","Business Finance"
"Introduction to Options - Strategies For Consistent Profits",40,617,44,55,4.5,"True","All Levels","Business Finance"
"Risk in Forex Transactions - for CA / CS / CFA exams",20,2235,3,9,1,"True","All Levels","Business Finance"
"Basics of Business Statistics (College Level)",20,2293,9,28,2,"True","All Levels","Business Finance"
"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",200,1094,8,13,2,"True","Beginner Level","Business Finance"
"Interpreting Financial Statements",20,1449,29,23,1.5,"True","Beginner Level","Business Finance"
"Introduction to Bookkeeping (Accounting)",20,3251,10,59,12,"True","Beginner Level","Business Finance"
"CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ",60,607,55,16,2,"True","Intermediate Level","Business Finance"
"Investment Banking: How to Land a Job on Wall Street",75,1218,30,63,3.5,"True","All Levels","Business Finance"
"Learn To Invest In Index Funds and ETFs In 7 Easy Steps",20,1132,33,18,1,"True","All Levels","Business Finance"
"Financial modeling: Build a multiples valuation model",20,656,17,20,1.5,"True","All Levels","Business Finance"
"Trade Recap I - A Real Look at Futures Options Markets",20,3339,4,11,1.5,"True","Beginner Level","Business Finance"
"Advanced Stock Options for Serious Equity Investors!",200,1271,23,7,1.5,"True","Expert Level","Business Finance"
"Trading Binary Options for Fun and Profit",20,1574,24,46,2,"True","All Levels","Business Finance"
"CFA: Fast Track your career in Finance",20,1393,27,21,2,"True","Beginner Level","Business Finance"
"How to be a Profitable Forex Trader",20,1029,13,7,0.683333333333333,"True","All Levels","Business Finance"
"Excel Dashboard - Interactive Excel Dashboard and Charts",30,843,54,34,3,"True","All Levels","Business Finance"
"Accounting 101: Learn Business Finance Forecasting in 60mins",95,1730,12,12,1.5,"True","All Levels","Business Finance"
"The Securities Trade Lifecycle",50,1182,110,22,4,"True","All Levels","Business Finance"
"Double your Forex Account using the MAGIC MA trading robot",65,1160,117,24,2.5,"True","Intermediate Level","Business Finance"
"Technical Analysis 101: How to Profit During Market Crashes",95,1730,18,53,2,"True","All Levels","Business Finance"
"Advanced Accounting for Investment Banking",50,1260,80,38,4,"True","Intermediate Level","Business Finance"
"Investing In Stocks With 10 Simple Rules",95,871,79,59,2,"True","All Levels","Business Finance"
"Venture Capital. What is it and Why it Matters to You!",50,1566,48,25,2.5,"True","All Levels","Business Finance"
"Cash Flow Valuation: Develop Your Financial Literacy",105,2987,23,19,2,"True","All Levels","Business Finance"
"Direction-Independ Trading - Elite Forex Traders  Strategy",120,973,15,28,2.5,"True","All Levels","Business Finance"
"How to Become a Financial Analyst from Scratch!",40,2177,31,38,5,"True","Beginner Level","Business Finance"
"First Steps to Trading the Forexmarkets : Technical Analysis",35,1772,19,15,3.5,"True","Beginner Level","Business Finance"
"Financial analysis: Compare performance of companies",20,1850,40,20,1,"True","All Levels","Business Finance"
"Forex for Beginners: Easy Forex Trading for Beginners",0,1780,32,9,1,"False","Beginner Level","Business Finance"
"Investment Crowdfunding 101 (a.k.a Equity Crowdfunding)",0,4607,181,11,0.533333333333333,"False","Beginner Level","Business Finance"
"Read financial statements like a pro",50,12,1,38,4,"True","Intermediate Level","Business Finance"
"10 Numbers Every Business Owner Should Know",20,13,1,9,1,"True","All Levels","Business Finance"
"Learn How To Trade Gold In 2017",200,2,1,16,1,"True","All Levels","Business Finance"
"IAS 18 - Revenue",0,2571,32,23,4.5,"False","All Levels","Business Finance"
"Forex Trading: The High ROI Forex Trading End of Day Course",125,8,1,19,2.5,"True","Intermediate Level","Business Finance"
"Fundraise the Simplified Way: A Crowdfunding Blueprint",35,7,1,19,1,"True","All Levels","Business Finance"
"Fundamentals of Accounting for Business Owners",20,217,0,47,2.5,"True","Beginner Level","Business Finance"
"Practical Financial Statement Analysis",75,22,5,45,4.5,"True","All Levels","Business Finance"
"Forex Management - Detailed Study for CA / CS / CFA Exams",50,131,2,38,3,"True","All Levels","Business Finance"
"Financial Statement Review 101:  How to Find Errors",30,5,2,15,2,"True","Beginner Level","Business Finance"
"Professional Risk Manager (PRM) Certification: Level 1",50,116,10,51,24,"True","All Levels","Business Finance"
"International Tax  - Tax Beyond boundaries",100,27,6,235,19.5,"True","All Levels","Business Finance"
"The Complete Financial Statement Analysis Course",150,912,12,37,3,"True","Beginner Level","Business Finance"
"Advanced Excel functions",20,1964,47,15,1.5,"True","All Levels","Business Finance"
"Penny Stocks Value & Chart Pattern Trading (2 Course Bundle)",200,1033,2,31,1.5,"True","Beginner Level","Business Finance"
"Candlestick Analysis For Professional Traders",95,913,117,48,2,"True","Expert Level","Business Finance"
"Build A Career In Forex Trading- Learn Fundamental Analysis",200,2092,77,52,3.5,"True","All Levels","Business Finance"
"Financial Modeling: Build a Complete DCF Valuation Model",95,2240,185,44,2.5,"True","All Levels","Business Finance"
"Hands-on Financial Modeling (With 6 Excel Templates)",30,4601,38,14,4,"True","Intermediate Level","Business Finance"
"CAIIB Advanced Bank Management (Part I)",25,2953,20,211,20.5,"True","All Levels","Business Finance"
"Stock Market investment:Non financial fundamental analysis",125,1091,4,29,3,"True","Beginner Level","Business Finance"
"Learn How to Play CashFlow Game",35,1459,11,26,1,"True","Beginner Level","Business Finance"
"Basics of Business Finance",30,4855,64,24,4,"True","Beginner Level","Business Finance"
"Accounting Made Easy 2",50,4034,8,40,3,"True","Intermediate Level","Business Finance"
"Bitcoin: el futuro del dinero, hoy",200,57,22,19,3,"True","Intermediate Level","Business Finance"
"Aprende a invertir practicando",35,26,9,42,2,"True","All Levels","Business Finance"
