"Name","Rating","Tags","Difficulty.f"
"Innovation Through Design: Think, Make, Break, Repeat","4.8","['Business', 'Entrepreneurship']","Beginner Level"
"Improving Communication Skills","4.6","['Personal Development', 'Personal Development']","Beginner Level"
"Creatividad computacional","None","['Computer Science', 'Algorithms']","Intermediate Level"
"Communicating Data Science Results","3.6","['Data Science', 'Data Analysis']","None"
"Design Thinking","4.6","['Business', 'Entrepreneurship']","Beginner Level"
"Modern American Poetry","4.5","['Arts and Humanities', 'Music and Art']","Beginner Level"
"More Chinese for Beginners","4.7","['Language Learning', 'Other Languages']","None"
"Aspectos básicos de la planificación y la gestión de proyectos","4.9","['Business', 'Business Essentials']","Beginner Level"
"The Modern and the Postmodern (Part 2)","4.7","['Arts and Humanities', 'History']","None"
"Marketing Gerencial","4.8","['Business', 'Finance']","Intermediate Level"
"Основы микроэкономики (Microeconomics Principles)","4.5","['Social Sciences', 'Economics']","Beginner Level"
"Leading transformations: Manage change","4.5","['Business', 'Leadership and Management']","Beginner Level"
"Cómo autoconstruir tu vivienda. Segunda etapa","4.8","['Physical Science and Engineering', 'Electrical Engineering']","Beginner Level"
"Растровая графика. Adobe Photoshop CC","4.6","['Computer Science', 'Design and Product']","Beginner Level"
"Entrepreneurship Strategy: From Ideation to Exit","4.8","['Business', 'Leadership and Management']","Beginner Level"
"Conflict Resolution Skills","4.3","['Business', 'Business Essentials']","None"
"Serious Gaming","4.5","['Social Sciences', 'Education']","None"
"Введение в системное проектирование","4.4","['Physical Science and Engineering', 'Research Methods']","Beginner Level"
"Advanced Deployment Scenarios with TensorFlow","None","['Computer Science', 'Software Development']","Intermediate Level"
"The Science of Success: What Researchers Know that You Should Know","4.8","['Business', 'Leadership and Management']","Beginner Level"
"Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)","4.9","['Computer Science', 'Algorithms']","None"
"Toledo: Deciphering Secrets of Medieval Spain","4.6","['Arts and Humanities', 'History']","Intermediate Level"
"Introduction to Data Analytics for Business","4.7","['Data Science', 'Data Analysis']","None"
"Getting Your Film off the Ground","4.4","['Arts and Humanities', 'Music and Art']","Beginner Level"
"Hot Topics in Criminal Justice","4.9","['Social Sciences', 'Law']","Beginner Level"
"Learning, Knowledge, and Human Development ","4","['Social Sciences', 'Education']","Beginner Level"
"Front-End Web UI Frameworks and Tools: Bootstrap 4","4.8","['Computer Science', 'Mobile and Web Development']","Intermediate Level"
"Introducción a la producción musical","4.9","['Arts and Humanities', 'Music and Art']","Intermediate Level"
"Elastic Cloud Infrastructure: Containers and Services dalam bahasa Indonesia","4.9","['Information Technology', 'Cloud Computing']","Intermediate Level"
"Financial Analysis for Startups","4.4","['Business', 'Finance']","Beginner Level"
"Arts and Heritage Management","4.8","['Business', 'Marketing']","None"
"Fundamentals of Quantitative Modeling","4.6","['Business', 'Business Essentials']","None"
"Using clinical health data for better healthcare","4.6","['Health', 'Health Informatics']","Beginner Level"
"Enterprise Architecture","None","['Business', 'Business Essentials']","Beginner Level"
"Teach English Now! Capstone Project 2","4.9","['Language Learning', 'Learning English']","Beginner Level"
"Introduction to CAD, CAM, and Practical CNC Machining","4.9","['Physical Science and Engineering', 'Mechanical Engineering']","Advanced Level"
"Психология коммуникации","4.6","['Social Sciences', 'Governance and Society']","Beginner Level"
"Inferential and Predictive Statistics for Business","4.8","['Business', 'Business Essentials']","None"
"Summary Statistics in Public Health","4.8","['Health', 'Public Health']","Beginner Level"
"Unordered Data Structures","4.8","['Computer Science', 'Software Development']","None"
