"Name","Rating","Difficulty_None","Difficulty_Beginner Level","Difficulty_Intermediate Level","Difficulty_Advanced Level","Tags"
"Blended Learning: Personalizing Education for Students","4.7",1,0,0,0,"['Social Sciences', 'Education']"
"The Effect of Fires on People, Property and the Environment","4.6",1,0,0,0,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
"Applied Data Science Capstone","4.7",0,0,1,0,"['Data Science', 'Data Analysis']"
"Originalité et modernité du mutualisme","4.8",0,1,0,0,"['Business', 'Business Essentials']"
"The Power of Microeconomics: Economic Principles in the Real World","4.6",1,0,0,0,"['Social Sciences', 'Economics']"
"Controle Usando a Resposta em Frequência","4.3",0,0,1,0,"['Physical Science and Engineering', 'Electrical Engineering']"
"The Science of Health Care Delivery","4.6",0,1,0,0,"['Health', 'Healthcare Management']"
"Analizando las Políticas Económicas","4.9",1,0,0,0,"['Social Sciences', 'Economics']"
"Corporate Financial Decision-Making for Value Creation","4.7",1,0,0,0,"['Business', 'Finance']"
"Launching into Machine Learning 日本語版","4.4",0,0,1,0,"['Data Science', 'Machine Learning']"
"Trading Algorithms","4.6",0,0,1,0,"['Business', 'Finance']"
"Just Reading and Writing English 2","None",0,0,1,0,"['Language Learning', 'Learning English']"
"Fundamentos de Android","4.7",1,0,0,0,"['Computer Science', 'Mobile and Web Development']"
"Code Free Data Science","4.3",0,1,0,0,"['Data Science', 'Machine Learning']"
"The R Programming Environment","4.4",0,0,1,0,"['Data Science', 'Data Analysis']"
"Audio digital con Pure Data","4.7",0,0,1,0,"['Arts and Humanities', 'Music and Art']"
"Mechanics of Materials III: Beam Bending","4.9",0,0,1,0,"['Physical Science and Engineering', 'Mechanical Engineering']"
"Financial Engineering and Risk Management Part II","4.7",1,0,0,0,"['Business', 'Finance']"
"Introduction à la théorie de Galois","4.8",1,0,0,0,"['Math and Logic', 'Math and Logic']"
"Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep","4.8",0,0,0,1,"['Physical Science and Engineering', 'Mechanical Engineering']"
"Web Application Development with JavaScript and MongoDB","4.6",1,0,0,0,"['Computer Science', 'Software Development']"
"Formal Financial Accounting","4.6",0,0,1,0,"['Business', 'Business Essentials']"
"How to Write a Resume (Project-Centered Course)","4.4",1,0,0,0,"['Personal Development', 'Personal Development']"
"Fundamentals of Parallelism on Intel Architecture","4.6",0,0,1,0,"['Computer Science', 'Software Development']"
"Design your own trading strategy – Culminating Project","4.5",0,0,1,0,"['Business', 'Finance']"
"Predictive Analytics and Data Mining","4.2",0,0,1,0,"['Business', 'Leadership and Management']"
"The Economics of Health Care Delivery","4.8",1,0,0,0,"['Health', 'Healthcare Management']"
